"Year week","Pizza","Price offer","Christmas","New year","17th of May - National day","Easter","Kr. Himmelfart (Ascension day)","Pinse (pentecost)","Summer vacation","Temperature","Precipitation","Sun","Campaign 1","Campaign 2","Campaign 3","Campaign 4","Campaign 5","Campaign 6","Campaign 7","Campaign 8","Campaign 9","Campaign 10","Campaign 11","Campaign 12","Campaign 13","Campaign 14","Campaign 15","Campaign 16","Campaign17","Campaign 18","Competitor 1","Competitor 2","Competitor 3","Competitor 4","Competitor 5","Competitor 6","Competitor 7"
"2017-1",100,0,0,0,0,0,0,0,0,1.31762360651253,38.3788542786695,2.31386258264047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4,0
"2017-2",221.475356225181,15.2840348449791,0,0,0,0,0,0,0,1.09508805216872,47.0730254933527,1.56308396398877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
"2017-3",131.270263957019,2.65712932495872,0,0,0,0,0,0,0,-0.998829063608293,28.2438726978682,3.92486218945084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.9,0,0,0,12.3,0
"2017-4",127.853305302499,2.41305939746907,0,0,0,0,0,0,0,-6.6542909273903,15.7611241482245,7.09442435249946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.4,0,0,0,19,0
"2017-5",146.755430974071,4.33813257064682,0,0,0,0,0,0,0,0.251072165637006,28.8655213617171,3.88206845660442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"6",114.369539827143,0.203281371836918,0,0,0,0,0,0,0,-8.0983946916996,7.97003260586512,11.0503749510032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7,0
"7",104.911002102313,0.137631673022576,0,0,0,0,0,0,0,-2.67699900475735,13.6414583855004,8.39561375155366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.9,0
"8",122.969399672974,3.34191379759796,0,0,0,0,0,0,0,-5.76159503221826,15.4615482468828,8.55213502241695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4,0
"9",107.54683485167,1.36355338369524,0,0,0,0,0,0,0,-0.0304055782254443,15.0659641512981,7.52406066738704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6,0
"10",111.117028731605,0.0560949176857333,0,0,0,0,0,0,0,2.2347671202239,31.0476932044331,8.74532229191721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3,0
"11",101.615510394768,0.0222039306668439,0,0,0,0,0,0,0,3.60783212816585,35.2991497172792,8.80047617936867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.1,0,0,0,40.3,0
"12",167.314178930157,13.1585761344766,0,0,0,0,0,0,0,2.50785423150849,5.03839910022772,18.7551273822478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.8,0,0,0,46.5,0
"13",116.442887175893,0.809833694508575,0,0,0,1,0,0,0,4.70944293326548,11.7785224238117,20.5146246627444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.4,0
"14",90.3872926886241,0.463079415392708,0,0,0,3,0,0,0,2.70377038999146,17.1510466493426,14.2037553276613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.4,0
"15",93.808923148797,0.0999516090517154,0,0,0,1,0,0,0,6.37870578995111,15.3130392130468,21.7026981403613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,0
"16",102.129409016585,0.0198183209060001,0,0,0,0,0,0,0,4.58144792458916,22.90177273768,19.7413748871046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.1,0
"17",140.774585377248,2.9940070538911,0,0,0,0,0,0,0,9.12943806652825,15.1399393734137,15.8315758051456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.8,0,0,0,35.1,0
"18",98.7087129175426,0.156792482494682,0,0,0,0,0,0,0,9.03292140141747,7.33661589454622,14.4996561876214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.6,0,0,0,21.7,0
